time,nearestNeighborParameter
610,"[0.5466863515547491,0.4001669751977084,0.6875430899803122,0.620421239922932,1.6450507209768117,8.4918859569061,0.5221026518124884,0.5221026518124884,7.984781640039159,0.34570980464646756,0.42164638161781315,5.853487324798616,0.07889830403773393,0.34570980464646756,1.3210880163289154,0.09652889834119335,0.09652889834119335,0.17306395190748278,0.037544652510232104,0.8864672308698381,0.620421239922932,0.04337609707135908,0.42164638161781315,0.17306395190748278,3.4676439718082688,0.3903412995804004,0.3934189856878584,2.068849512255389,2.230510697969308,0.8800845670299023,10.256651420858619,0.037544652510232104,3.4676439718082688,0.26573149942970303,0.4001669751977084,0.22831264959891814,0.21797622098022165,0.3120592702223353,0.32281022431709905,0.32281022431709905,8.774558629199646,0.3120592702223353,2.0930392354240293,0.21797622098022165,0.3934189856878584,1.9868668273562453,2.0930392354240293,2.083012013628544,0.8800845670299023,2.938304828729789]"
620,"[0.4406012878250176,0.4406012878250176,0.7536927898004108,0.705805231591887,1.4501031413540222,7.238786606313394,0.4846566684832388,0.4846566684832388,8.951677938845794,0.27831982754561063,0.4460588178751837,6.085820467862336,0.061762170219850976,0.2388338997016832,0.2388338997016832,0.21785073650362188,0.21785073650362188,0.12268702476322901,0.04574565423973142,1.413632225231368,0.705805231591887,0.03282315880171168,0.4460588178751837,0.12268702476322901,3.6737277274474485,0.4006779753570139,0.167552839793692,1.9263179498936793,2.199503316722508,0.8667530889080852,9.480090480022977,0.03282315880171168,3.6737277274474485,0.24788561161052977,0.7536927898004108,0.1624631766200795,0.1702552142022946,0.5699361330510756,0.3668811613194625,0.3668811613194625,9.037674610732603,0.1702552142022946,2.088106385590772,0.4049797014562487,0.167552839793692,1.9807892501154185,2.088106385590772,1.9132414116516754,0.8667530889080852,3.6647584150615353]"
630,"[0.3618882822422644,0.3618882822422644,0.8293533449885648,0.7218013659498307,0.6244291070608838,7.044743703805467,0.50173053466252,0.50173053466252,9.053007378296718,0.49263499913662856,0.4725507902478677,2.5054995921016046,0.08039522287296286,0.248231048602649,0.248231048602649,0.31104832287081385,0.31104832287081385,0.1805485429430324,0.03986925877296587,1.4478734024524649,0.7218013659498307,0.04978323555251356,0.4725507902478677,0.1805485429430324,4.3611951994665095,0.3821342056644466,0.3821342056644466,1.3069630473160014,1.939668826410993,0.8370851052182693,9.09168163586065,0.03986925877296587,4.3611951994665095,0.2498033105346063,0.8293533449885648,0.36176339554638326,0.11236584817068514,0.6677646893392154,0.33507646750140646,0.42071211103236417,9.431216035787928,0.11236584817068514,2.1313269732338194,1.3069630473160014,0.5578538154773567,2.226517084316814,1.939668826410993,0.49263499913662856,0.8370851052182693,3.2753552674608852]"
640,"[0.325470914658696,0.325470914658696,0.5792157465483184,0.7754485907555266,1.3882490562954548,6.473285936532151,0.7953458267800019,0.7953458267800019,9.168937365897621,0.14620923172428982,0.6259009298492761,0.8530596120504371,0.09786329645149033,0.18124766069016793,0.10202812061626555,0.430195206351417,0.430195206351417,0.17658682355412042,0.05453513611346453,1.5967592294142579,0.7754485907555266,0.05453513611346453,0.6259009298492761,0.17658682355412042,3.871197828590312,0.47084822638112184,0.5831878674267659,0.710105305560197,1.5436411751695838,0.8216959461647593,9.749179434290053,0.25947594216871395,3.871197828590312,0.25947594216871395,0.5289081306367375,0.21074185860206046,0.5355852440800877,0.6410825107850516,0.30464620861634145,0.4828709575774074,9.900855132098362,0.5355852440800877,2.242158408561711,0.710105305560197,0.47084822638112184,2.269566895232778,1.5436411751695838,0.10202812061626555,0.7042227296160665,4.262941402394729]"
650,"[0.12965392709473575,0.12965392709473575,0.3443042273309154,0.859682664172151,1.4789382113363303,8.14802515516364,0.7343390368497646,0.7343390368497646,9.344564751013538,0.191977566116313,0.9335121828737277,0.30164268438067193,0.1324669270584446,0.28075848508498885,0.3176328490743867,0.7912968201044995,0.5991909715890508,0.1260829118454841,0.13274678398982764,1.22702748089451,0.30164268438067193,0.1324669270584446,0.9335121828737277,0.1260829118454841,3.8389912373196826,0.5991909715890508,1.0511262408235325,0.7807225537793685,1.1076680875746259,0.9934854627365454,9.930345152085138,0.23027825289642948,3.8389912373196826,0.23027825289642948,0.31279601364260357,0.43549205540966873,0.8116646554824792,0.8116646554824792,0.5631016290116998,0.5913203896082484,9.839954832278252,2.776669115028678,1.8240576432957523,0.7807225537793685,0.6384814374167649,2.447757792351912,1.1076680875746259,0.191977566116313,0.7783979467968604,3.5068379169433674]"
660,"[0.10960539627227281,0.14222511912976635,0.10960539627227281,0.04699198146444811,1.2556179359698918,6.739228765643751,0.8598090739461617,0.8598090739461617,7.33563301957382,0.30326139715174627,1.1744499903905572,0.04699198146444811,0.2218593129020286,0.210568223139782,0.210568223139782,0.7140406550861642,0.4953677012385699,0.11031113463288754,0.2218593129020286,0.23435903852926035,0.09504352508686861,0.3788007575604477,1.1744499903905572,0.11031113463288754,5.038676322027774,0.4953677012385699,1.4895400445754075,0.7192708883254839,1.0755865970657508,0.6514934890914896,8.475461564835596,0.3379122919112784,5.643376525810849,0.3379122919112784,0.4088097454580621,0.24908091223186724,1.0418967773714907,1.144885890865262,0.24908091223186724,0.4805948489776046,16.868909570185785,2.3611623420397705,1.3454305980596946,0.7192708883254839,0.5573968710386427,1.4886048337470081,1.0755865970657508,1.439499155132298,0.23435903852926035,3.9030170258554286]"
670,"[0.7821048579197943,0.15409910035533403,0.15409910035533403,0.06964516100818426,1.2732632215271535,5.831073084286375,0.910877754198906,0.910877754198906,7.152762261003879,0.10810524877446705,1.0829360886108277,0.06964516100818426,0.21287961534910796,0.10810524877446705,0.2095483789618227,0.1663660793332834,0.5312177134053099,0.1018351092280581,0.2567758606753381,0.30513697074496865,0.386204829604772,0.21287961534910796,1.267728382579549,0.1018351092280581,3.9459924196707075,0.9965683825277711,1.7331440756430296,1.0640962380137433,1.0357393295200046,0.30513697074496865,7.960369731477077,0.11610569631382851,5.832943146859164,0.11610569631382851,0.2880631618973536,0.23469721216494627,0.6281988158757629,0.6281988158757629,0.23469721216494627,0.44807913512439285,28.67219162645326,1.1328668597481477,1.67130922653996,0.901374841918725,0.5312177134053099,1.0829360886108277,1.0357393295200046,1.2786664925982698,0.823034573837834,3.474184289009679]"
680,"[0.22524481708054084,0.19011115331811212,0.22524481708054084,0.07948153323467332,0.5823266957730995,6.341542212374638,0.4756036032661792,0.8500308514573,7.289073548507228,0.23309947108499735,0.5752074405657406,0.07948153323467332,0.22751421797193722,0.2435858384437749,0.23309947108499735,0.19011115331811212,0.5048315513348551,0.10546769553921988,0.15695759436662482,0.4268398614182109,0.7671107162978338,0.15695759436662482,0.2994036773282959,0.10546769553921988,0.647930639085832,0.5048315513348551,2.1496044913810404,0.3764043368396208,1.5848963722398297,0.48324464144402146,7.8976183807552935,0.3087874028192495,8.668768812326455,0.3087874028192495,2.00321574325385,0.32454964734423386,0.4395779456119426,0.4395779456119426,0.38127709456545994,0.444115424236509,40.4011556569867,0.5925473088786599,2.032634614932502,0.3764043368396208,0.542003162711383,0.2994036773282959,1.5848963722398297,0.888105797803557,0.4268398614182109,2.7770984964463565]"
690,"[0.1144983982059626,0.12756217124496286,0.1144983982059626,0.07302606155886673,0.42777372240515105,6.227987748035061,0.15815038094604483,0.4977260217634203,7.3664641673809,0.10468880884143476,0.4827613361748624,0.07302606155886673,0.2054991921822235,0.10468880884143476,0.5731998566466016,0.4210297313422404,1.3681003113767067,0.09621982407391444,0.1609349894965424,0.5796563399030947,0.9127036321978516,0.1609349894965424,0.31129271956369664,0.09621982407391444,0.15815038094604483,0.880400171133139,3.2276834419429954,0.4909832327470113,1.3758364409000468,0.07278659923545273,6.788100413234729,0.13140675598524204,9.209938684972817,0.07278659923545273,1.8448329459683748,0.363601271274955,0.3578503493064345,0.3578503493064345,0.4891859393274829,0.4891859393274829,52.43710819209409,0.2666291089366388,2.5274525484539887,0.4909832327470113,0.880400171133139,0.31129271956369664,1.3758364409000468,1.2421196619657875,0.5796563399030947,2.406441949206105]"
700,"[0.09775408559957971,0.0785504411521193,0.0785504411521193,0.035516660416762075,0.41974620329378554,5.32745294255774,0.1377929789893325,0.4967965599821936,7.078745074099146,0.2887129586872195,0.41950193330201146,0.035516660416762075,0.3927000641398185,0.2887129586872195,0.5084662824389091,0.569693492949573,0.09763947767339337,0.10459620237311909,0.3927000641398185,0.27337348613783047,0.8557284812956871,1.2443114302527047,0.47663540069244487,0.14645898417246997,0.1377929789893325,2.479833839479621,2.577123830375648,0.4987931636463237,0.8061116683689984,0.32380815769811827,6.342331817595289,0.2811005952196334,9.82235342853691,0.27337348613783047,2.742950590265994,0.32585671269822525,0.40483004614949664,0.40483004614949664,0.35881877053617517,0.38387034674263726,65.05975869414902,0.10459620237311909,3.5384797049837378,0.6472650705379681,0.09763947767339337,0.41950193330201146,0.8061116683689984,1.1716610857423386,0.697703526375361,1.9348553658783896]"
710,"[0.16751697894304318,0.0459636563897684,0.0459636563897684,0.03993943138355322,0.4950509916308469,6.1294672319152115,0.4444872134012123,0.4950509916308469,7.626096745192052,0.5279956727471016,0.4444872134012123,0.03993943138355322,1.638305469092748,0.6469465875352168,0.5279956727471016,0.6105915860232023,0.4502642161254116,0.061903898365868466,1.3505041042647064,0.23552784120778433,0.7050419889261985,1.3505041042647064,0.6298874419163762,0.18709229720607773,0.4026797407843591,0.4502642161254116,1.4816481866038638,0.70159253066506,0.6634859311417425,0.40540759796878195,6.837368337832688,0.2744085394538062,9.522568373694883,0.23552784120778433,3.1079853504373816,0.2062442082383039,0.29892934706844454,0.29892934706844454,0.2062442082383039,0.5155580056960957,77.39910236305974,0.061903898365868466,3.3074984129665124,0.70159253066506,1.0061104485062393,0.4026797407843591,0.6634859311417425,1.9294312163684995,0.6650762493213932,1.9514814745419173]"
720,"[0.28439856552791315,0.681443172185684,0.681443172185684,0.13993413549720526,0.3653413916138664,7.373943068777705,0.588687448921397,0.8847489799772125,9.375519467645114,0.9685150081981935,0.18049524739798692,0.13993413549720526,0.7437515958547822,0.8204195336828501,0.8204195336828501,0.7560073777340811,0.5123198229698166,0.3757615535664607,2.634190771284967,0.2347945618480795,0.7033712451329887,0.7437515958547822,0.18049524739798692,0.9082539663550182,0.3653413916138664,0.28439856552791315,0.4089206387174459,0.47123299493040777,1.7856031482732158,0.2630821409258128,7.101226101281775,0.18126401732367342,8.922833325740333,0.18126401732367342,1.6093336497382982,0.21099556605830982,0.33630940380656615,0.33630940380656615,0.21099556605830982,0.6227506294265517,88.78746468469947,0.21139954385651924,2.8816224016340803,0.47123299493040777,0.5690418718186018,0.8142033697002239,1.7856031482732158,1.5500048572183949,0.48755209165751767,0.9082539663550182]"
730,"[0.28489718270704856,0.36950984528333797,0.7046469067175708,0.6518233388120307,0.21175423540434546,6.76447777478381,0.21175423540434546,0.5211020868444747,8.623500209893797,0.5747880717738648,0.3116813483998137,0.6518233388120307,0.5553077123063092,0.5747880717738648,0.861676715514194,0.6611999590407436,0.36950984528333797,0.43057820464487045,3.118461625375235,0.1708462265196166,0.6812311096598369,0.5553077123063092,0.3116813483998137,0.43057820464487045,0.32839045787944426,0.28489718270704856,0.3678900376062162,0.7233781069929687,1.306266049243711,0.27144227986649644,8.04636945482249,0.17873494468931483,7.786961933776925,0.1708462265196166,0.6408408925931227,0.5878019468628748,0.3042721564275241,0.3042721564275241,0.1265009823150713,0.1265009823150713,98.92401311323394,0.5334017804001521,2.2131133718474554,0.7233781069929687,0.6611999590407436,0.7769493502828314,1.306266049243711,3.132272961631109,0.47738823016257276,1.0340875964199634]"
740,"[0.34185267779950135,0.5256937150801871,0.3327812252453944,0.7411222161319331,0.10481106967333753,5.684232976017941,0.14376199582824156,0.08109019392387495,8.383216656104462,1.1208424812854012,0.08109019392387495,0.6143256406510741,0.24138222174834975,0.11462853306350333,0.11462853306350333,0.5693271487659204,0.3327812252453944,0.3238427001243627,5.054843462561274,0.1365666542618188,0.6143256406510741,0.24138222174834975,0.44924380671659636,0.3238427001243627,0.3557312372294177,0.5503043607105441,0.24800317483492357,0.3242335664620502,1.4417959527866069,0.3058560996249277,8.629222298762803,0.1793293295961812,6.084201204379584,0.1365666542618188,0.3642372584051387,0.3947520183974308,0.3397708251051491,0.3397708251051491,0.35077399199901366,0.35077399199901366,108.51802181905808,0.7330119079572458,1.3433622081095073,0.3242335664620502,0.24800317483492357,0.6484501981906673,1.3433622081095073,5.28596492002794,0.47673051224494833,0.8904120649924956]"
750,"[0.46270835658941467,2.3308827081530588,0.8898061410343489,0.1821166942099082,0.11253821723446644,5.297488951290737,0.012301390305242608,0.012301390305242608,8.153894734995477,0.287970629591212,0.04420496063813329,0.7213088181649899,0.15658338418316087,0.1670755753621001,0.1670755753621001,0.7373073284225033,0.6646061249669171,0.3361845865000913,5.43138983806376,0.15763069872497162,0.1821166942099082,0.15658338418316087,0.3876095460876083,0.37474507597833384,0.5328089523462659,0.5752145444102189,0.43583143460953533,0.32037352350905146,1.723771287289769,0.32241041950951,8.722216775764151,0.18024823362571932,6.978314077643881,0.15763069872497162,0.5752145444102189,0.3361845865000913,0.32037352350905146,0.4450851881928646,0.3675636405064781,0.3675636405064781,118.00577760268013,0.694547530813673,1.723771287289769,0.41890912140632647,0.43583143460953533,0.7859555130755556,2.2529213384761144,5.297488951290737,0.47672671395296423,0.9077579998395513]"
760,"[0.33906375924223514,0.2668909991402336,0.2668909991402336,0.23773824107671448,0.21399336355072732,4.176498239314104,0.016012922486894177,0.016012922486894177,7.914017584989323,1.5082209905759696,0.07285943571124319,0.5839460057876493,0.43606061810720553,0.2276128008403934,0.2276128008403934,0.17078498992000177,0.2553952548528049,0.3363458781011289,5.247001615679223,0.19662095006150299,0.23773824107671448,0.43606061810720553,0.4614411350144625,0.401928673779355,0.4614411350144625,1.358859660158485,0.3981991290251298,0.16390640898779985,2.4157638946709032,0.2686071005484543,7.9572146139875635,0.19078518579429918,8.356262924559314,0.19078518579429918,0.17078498992000177,0.3363458781011289,0.16390640898779985,0.4571852831406845,0.3872718494149394,0.3872718494149394,126.97645522884127,0.6308207958464455,2.4157638946709032,0.6386632859436386,0.2553952548528049,0.6518362974072424,2.878909341980387,4.176498239314104,0.5339914389477153,0.9052624681330137]"
770,"[0.1594202592736721,0.8581470485210738,0.8581470485210738,0.1037615411254169,0.2073060783513326,4.287609979710191,0.09108413467818632,0.09108413467818632,7.626641302134402,0.43915154510494436,0.095991528013756,0.1037615411254169,1.154115794442018,0.2350111642044185,0.2350111642044185,0.1594202592736721,1.1311784207816693,0.31899555906372806,4.890260034722548,0.20569443370179125,0.19744403867147997,1.154115794442018,0.39028573921848553,0.41009505274459346,0.39028573921848553,1.072172353120711,0.35810282345232197,0.41066518012375075,3.7262088433726857,0.27776448233335416,8.01313177203989,0.20927804547203424,7.716303088775163,0.20569443370179125,0.35810282345232197,0.31899555906372806,0.3930636479309231,0.7410167448282886,0.380424278646025,0.380424278646025,134.4200443207348,0.5280959034230196,2.789347750325963,0.3930636479309231,0.8201118339264492,0.7681362281303147,2.789347750325963,4.287609979710191,0.6221662105980559,0.8779603333269389]"
780,"[0.6688905174255193,0.7462517797137587,0.8579714658714868,0.37884176025447597,0.27507689874145125,4.008748600209822,0.0641727614981534,0.0641727614981534,7.263144490630968,0.07067493758142639,0.2634535718577376,0.2811834434661639,1.7732062922616922,0.07067493758142639,0.33397237027635496,0.40935568641118997,0.3759393882127601,0.3533842151869511,4.48352892232499,0.05373578813937362,0.2811834434661639,1.7732062922616922,0.3709168479924454,0.3780359487636768,0.39086420197558586,0.6688905174255193,0.11930234455814086,0.3660582521930736,5.106313836206698,0.3018294868157014,8.240839262026938,0.30037261030204176,8.246052566156429,0.05373578813937362,0.11930234455814086,0.3533842151869511,0.11708422069854006,0.592563368432001,0.3852663332895362,0.3852663332895362,140.81577001645465,0.505987600811024,1.9341621965370315,0.11708422069854006,0.3759393882127601,0.6263056987740652,1.9341621965370315,4.008748600209822,0.5491413296364112,0.992300057901423]"
790,"[0.29924917737845036,0.21556724736815627,0.5578303640767122,0.4262274427079568,0.5802039068595418,5.100226549168772,0.036929376772976065,0.036929376772976065,7.110721219460609,0.5474736710922717,0.10510012877734398,0.2956786717278241,3.9092087260622024,0.5474736710922717,0.9473126373007843,0.08293268235277942,0.40781269269330145,0.36210494404822186,5.376785749296998,0.04385957688088016,0.2956786717278241,3.9092087260622024,0.3289905564179859,0.4834274465890042,0.2704364685809728,0.3789863563569035,0.3789863563569035,0.15538682024611494,4.714342543127089,0.39237135345459784,8.72265264335358,0.7008307597167706,9.817892311944178,0.04385957688088016,0.9459318442047439,0.36210494404822186,0.2780824753471023,0.42857061436438165,0.471090354076961,0.9766676984335322,144.3641422863452,0.4834274465890042,2.0063346866899585,0.15538682024611494,0.08293268235277942,0.2704364685809728,2.0063346866899585,5.100226549168772,1.614497808113956,1.3582413228950678]"
800,"[0.42688518872287534,0.8177924113420197,0.16184478908546138,0.33237561285481076,0.3104459362904728,9.325234322943405,0.012715740173714326,0.012715740173714326,4.234469279720161,0.7095513718581964,0.035492704320373075,0.2359568745619621,5.415711659190716,0.7095513718581964,1.3795902732359155,0.08998997773572993,0.5143509869709604,0.5478400450841842,5.415711659190716,0.7055260008100734,0.2359568745619621,6.945142416027037,0.2786133147803509,0.809297401474859,0.08237651924786517,0.526110694166639,0.17163761101730782,0.44213775616729906,4.3201583495668725,0.19876402807442922,8.030621692618736,1.2438939299376768,9.520443068370612,0.19876402807442922,0.08998997773572993,0.244898026444899,0.5510396968912692,0.44213775616729906,0.244898026444899,1.1501466133894023,143.23871797876035,0.6173612315342666,2.1607925905727767,0.5329359889822838,0.1937228276629624,0.08237651924786517,2.1607925905727767,4.234469279720161,1.8117367932854325,1.1501466133894023]"
810,"[0.3248731917374084,0.3248731917374084,0.0321007657121218,0.7245584036494374,0.1503550980736117,10.648780650711261,0.009278125037772667,0.009278125037772667,2.6332941879989127,0.4115926923161447,0.031228883490102926,0.27696603012076515,7.417255792916267,0.8849342627641329,0.4115926923161447,0.04107228497229691,0.25935223831929394,0.21136579191485003,7.417255792916267,0.42865152239557136,0.27696603012076515,6.147694170657571,0.2622943058231014,0.5595033277957563,0.07990731918444648,0.09545286867546783,0.04107228497229691,0.09744049206198453,5.356075122019697,0.34980152530942904,7.601571049923274,0.6325773709377889,8.658864446295865,0.34980152530942904,0.0321007657121218,0.27420422577814163,0.09545286867546783,0.4394070521323576,0.21136579191485003,1.4350025886247062,140.84184403302746,0.4796795315144207,0.7543040172715831,0.09744049206198453,0.15686372293868062,0.07990731918444648,0.7543040172715831,2.6332941879989127,0.6325773709377889,0.8039892440479119]"
820,"[0.3394222943555106,0.4258363073797065,0.05030095639975613,0.8182985531925236,0.1252758146671608,10.254774112234326,0.02133361616938723,0.02133361616938723,2.70846872836576,0.3131176591076818,0.03902750427004922,0.13794989146632222,7.191254462563893,1.1257731114794753,0.3131176591076818,0.05395771900667468,0.1879167611206427,0.18514498814104838,8.536635470165006,0.8182985531925236,0.13794989146632222,5.253497772926592,0.2743518830946603,0.14458836382029286,0.06090439492855602,0.21382190005570767,0.05395771900667468,0.12922977697387344,5.253497772926592,0.6252181319297176,7.120998323426684,0.29445837226115107,7.191254462563893,0.6252181319297176,0.09772002335918421,0.2679992577519972,0.09772002335918421,0.3430753213701809,0.14458836382029286,1.4824746408915084,141.18883431796996,0.6370311135991712,0.984773166977983,0.05030095639975613,0.20023621873989636,0.06090439492855602,0.984773166977983,2.70846872836576,0.29445837226115107,0.6370311135991712]"
830,"[0.11105495601717363,0.13275136733191562,0.9257115060091325,0.4541813039081977,0.12509938027700288,10.278031836377263,0.020263309886657317,0.020263309886657317,3.456067427860165,0.08029610675830245,0.047286389200983714,0.051052743009258814,6.911721543181537,0.8265181685280486,0.08029610675830245,0.04140441660656941,0.07808450468142594,0.32742855670513465,9.171418723636105,0.2958819328746199,0.051052743009258814,4.9190498181728675,0.2791315892677845,0.30693173739877344,0.07050116671532981,0.16039424949801284,0.04140441660656941,0.13590098438241582,4.4628699486915435,0.41940631965745473,6.248622305446416,0.5467211203055161,6.911721543181537,1.0333711621964288,0.1734703536248802,0.5767273115546642,0.11105495601717363,0.24135305447127103,0.30693173739877344,1.467937548824317,140.43798449730264,0.9401377011568921,0.6761888118950421,0.13590098438241582,0.07808450468142594,0.07050116671532981,0.6761888118950421,3.456067427860165,0.2958819328746199,0.9401377011568921]"
840,"[0.4263748360792739,0.26004452429112124,2.531654557410758,0.23790457601766174,0.15454534273567125,10.33704837164604,0.013638172799245393,0.013638172799245393,5.505785484831078,0.17697591817089914,0.04845095226521906,0.06531758150633518,6.084791612258369,0.7523837348615133,0.17697591817089914,0.04534939971199734,0.03432158574565343,0.2980460577615072,8.954955406505917,0.4291690579467233,0.06531758150633518,5.042720247603785,0.2881616176524051,0.2980460577615072,0.039304264313859395,0.27694648052754006,0.03432158574565343,0.08267521714958921,3.921811498135773,0.16282429506782492,6.084857822388808,0.19337551261631078,6.084791612258369,0.3010012861275189,0.1456260198384462,0.46139184177292647,0.1456260198384462,0.37693706892293055,0.38664170541740805,1.1958772123840287,140.53286670813193,0.6226611536021651,0.7184636347047036,0.08267521714958921,0.04534939971199734,0.039304264313859395,0.7184636347047036,5.505785484831078,0.19337551261631078,0.6226611536021651]"
850,"[0.447097095154421,0.2637752439750738,2.6214823473075617,0.18227272351488244,0.1704463709416596,10.334821350460734,0.023669310796656167,0.023669310796656167,7.196217058237059,0.12149279715415578,0.03989539446804318,0.0792831934574769,5.623308131423904,3.022968893165861,0.12149279715415578,0.054296277764213474,0.35322112375045356,0.28346329158935923,8.851483721360793,0.18227272351488244,0.0792831934574769,5.255742661155069,0.21320074811700196,0.28346329158935923,0.10648496358692845,0.08624139422077652,0.2915639142256449,0.06493782090447624,3.5962262223740806,0.08314529172209256,6.373581267524101,0.20874638081388433,5.623308131423904,0.5157232940671193,0.2637752439750738,0.3548755642943584,0.5778522539164657,0.6500713222808452,0.5957555121771055,1.2801672351976072,142.87737832118654,0.7615414593236287,0.7354934753857475,0.06493782090447624,0.054296277764213474,0.10648496358692845,0.7354934753857475,8.695849714009052,0.20874638081388433,0.7615414593236287]"
860,"[0.15220918203081793,0.15220918203081793,2.327157617291744,0.0914614796985531,0.16980848111848412,10.374784271295281,0.11524822519469874,0.09467248569601049,7.185219740906395,0.14513617415778915,0.09467248569601049,0.08592681611765511,4.957592491676734,4.581063948472057,0.14513617415778915,0.28802183643810264,0.4989879877970002,0.23000159369279813,8.759798974421841,0.0914614796985531,0.09020814139758764,5.0711019639008095,0.31017321980484064,0.21612812138728124,0.25918972842067084,0.14067328532504775,0.6587301355141829,0.18420288503784776,3.4512561037344764,0.08592681611765511,6.37237864763829,0.32699250399588975,4.957592491676734,0.5023759609703994,0.14067328532504775,0.21612812138728124,0.4989879877970002,1.0313825641483951,0.9423482718309176,0.9184318438764064,148.1100018463388,0.6665469383970198,0.6893161745732798,0.24614028423452214,0.28802183643810264,0.25918972842067084,0.6893161745732798,10.601493602035637,0.32699250399588975,0.6665469383970198]"
870,"[0.17204846807837765,0.2071060922011625,2.262571883465257,0.06864762759975504,0.17051718420176806,10.067505474572679,0.01250045300326637,0.04522028558431621,7.379504478644913,0.31370040201577876,0.01250045300326637,0.07587420616507165,4.690131931232209,6.100055133631091,0.31370040201577876,0.0674238648569626,0.0674238648569626,0.3877901268757279,8.714261367825332,0.06864762759975504,0.06212246255672229,4.864497116822951,0.28383664803952396,0.20878878523901945,0.14944003347499235,0.2654980859576645,0.3873855798769,0.3443397882948116,3.1549295649058764,0.06212246255672229,6.340235669103424,0.43057542293771583,4.690131931232209,0.07587420616507165,0.17204846807837765,0.20878878523901945,0.24678984048544153,2.6929100146610243,0.4757707942201436,0.7550640425124852,154.2157760318616,0.8306332164304833,0.6377222887800964,0.2886730525712116,0.5511296689794756,0.14944003347499235,0.6377222887800964,9.146762185356101,0.43057542293771583,0.7550640425124852]"
880,"[0.11268687801365211,0.11268687801365211,5.00202635058146,0.49360577823322943,0.6224659998947957,7.907219095906514,0.2769705400500436,0.07316863343084996,4.1651682470843,0.37176954690134184,0.07316863343084996,0.09851987675385245,7.353911917560389,5.038393335043409,0.37176954690134184,2.9810884574846406,4.419283262061695,0.5860719725346276,8.970069486251926,0.21739743580429183,0.18784294400179144,6.116592299361944,0.6407017589551713,0.5860719725346276,0.3947772998025433,0.29000392818991144,1.0030602689769548,0.41372333255072746,2.8393531154572713,0.052354015917474954,5.799198719703457,0.06963689314491325,7.353911917560389,0.052354015917474954,0.2952940958579322,0.80116443403508,0.21328112111831218,3.3359938439673864,0.7082293212950189,0.3728783446263236,164.49981684364587,0.7649265838995747,0.8972406209558309,0.21328112111831218,0.25581699342697733,0.3947772998025433,0.8972406209558309,9.937261606459595,0.29223860833663395,0.3728783446263236]"
890,"[0.5049429518330639,0.6408283750595024,5.542752128029298,1.36103931740433,0.4535379100012483,8.740952332358647,0.2188235478993805,0.10311717159073568,4.401834088235492,0.07840375737560795,0.10311717159073568,0.2271855395822965,21.726975782657124,2.6830304780755583,0.07840375737560795,2.531575869130394,2.531575869130394,0.7668349471075994,8.939064431561627,0.6076810807483322,0.5676941272214984,5.644425092859168,0.796302161935245,2.149872807154944,0.2894020326798271,0.26548236189639407,2.4739759498123712,0.1935372658906738,2.519288802050895,0.3429271916291198,5.67476586975148,0.3429271916291198,7.436743693395071,0.2271855395822965,0.1935372658906738,2.149872807154944,0.26548236189639407,3.0771126038249568,0.7668349471075994,0.36039322103580257,179.2498063771936,0.6604381272460347,2.107081834379402,0.9661675720940571,0.46700799099873674,0.2894020326798271,2.107081834379402,9.715392662228554,1.36103931740433,0.36039322103580257]"
900,"[0.26417009660452306,0.26417009660452306,2.336832088644652,1.492694529259913,0.8112113625750276,8.71205050453606,0.1963502086984578,0.1033827619125555,4.5619394475225015,0.2931227239453877,0.1033827619125555,0.20608001821936586,34.1695816947665,1.2720255424395994,0.2931227239453877,0.8692117630892346,0.8692117630892346,0.7454672391301881,10.36877207595947,1.9007995602524141,0.26670747038673687,3.9015712790560406,0.8112113625750276,1.0274633467435286,1.8957531862771224,0.4815811718024498,0.8915618448495174,0.8915618448495174,2.5324426628539976,0.6361311299340184,5.198263125259175,0.2518169492551987,7.1041893931516675,0.20608001821936586,0.3766981680586896,1.0274633467435286,0.5443600236464311,2.5578792947115474,0.7454672391301881,0.4839339976051219,191.5591591781121,0.8116138739253046,2.5324426628539976,0.6209565423959459,0.3766981680586896,0.8811449953356074,3.158255056445891,7.984629475565613,1.492694529259913,0.4839339976051219]"
910,"[0.3622013055240862,0.38258880978253856,2.7264480059473835,1.1340976418601305,1.1034733142456183,9.15718956208765,0.22557617335001587,0.09819535571978286,6.302191782822558,0.72049537148665,0.09819535571978286,0.623822440267365,47.22630390677119,0.9792482780209607,0.72049537148665,0.7496376078693416,0.7496376078693416,0.7513792068793662,9.923182771508214,1.282085220054505,0.4678330455863914,1.6588813401513016,1.1034733142456183,1.186250800816327,0.747645951323905,0.40510503317754626,0.38544629716467244,0.3622013055240862,2.5929521945239244,0.623822440267365,5.140828705106091,0.1591968746417124,6.810414218425028,0.1591968746417124,0.41240600588416243,1.186250800816327,0.32113360672537133,1.3312592885745427,0.7513792068793662,0.49855262930710625,192.6352165618262,1.021923765567401,2.5929521945239244,0.32113360672537133,0.41240600588416243,0.747645951323905,4.231035855224861,7.259145735312106,1.1340976418601305,0.49855262930710625]"
