time,nearestNeighborParameter
200,"[9.788091049389253,10.751653581596132,6.489204087276615,11.919210348224054,7.665811503182438,9.282370552956356,10.22423939831388,10.22423939831388,15.37042234378199,4.160628970354671,11.75084257305773,10.227009262207742,3.491409884084612,1.4711858022650877,1.1766659861117907,8.07647266786801,6.489204087276615,4.160628970354671,8.736447511401165,10.374983501647861,18.513909651680805,1.82124611935243,10.557320286627775,1.4711858022650877,24.296178486804862,9.252921877758645,9.178576163042433,9.099083619257927,10.901674654227024,7.013688939737298,10.901674654227024,9.747889044252856,44.330713455572656,1.82124611935243,0.45177225206623883,9.116061362648601,9.389164869030354,0.45177225206623883,5.102735822848649,3.491409884084612,23.970534267972173,1.1766659861117907,19.740677813493843,9.389164869030354,9.70955435781231,7.665811503182438,9.282370552956356,9.02661320671766,7.298023961624886,10.557320286627775]"
210,"[8.460271757648965,11.310834511926094,2.765145989430304,11.991369993414013,9.698275831495478,10.012137774034743,8.645260843565039,9.537543754744794,16.570176333224776,4.51171599576834,8.645260843565039,8.729803009837049,3.11756282158664,4.301470336248818,1.0270931155693648,8.037916117373907,2.765145989430304,4.72518263830567,8.729803009837049,10.285205743183583,17.371185635446835,2.542978751577488,6.440228053197055,4.51171599576834,23.604622051957648,8.235277150362366,4.544639090045674,9.56842320007623,10.832076838072306,7.0032489903267425,10.832076838072306,9.268257513761649,43.00390891508823,2.542978751577488,0.39348651555622205,8.037916117373907,9.287226854903384,0.39348651555622205,4.301470336248818,3.11756282158664,23.970417153047332,1.0270931155693648,19.305624845662898,9.483364397117146,8.79599562463767,4.544639090045674,8.961190486762447,4.72518263830567,8.100745531734589,8.8626855356722]"
220,"[7.582394362041017,9.101706495617945,2.4589839840742003,11.74336067572557,9.22328737753454,8.240136692451618,9.674048285535891,9.674048285535891,14.571424866896463,2.8373233461590543,6.1471460485439735,8.837997480571035,2.7690511392495987,2.0831111908236517,1.1516553681389952,6.688197960058933,2.4589839840742003,2.2316759823373675,8.837997480571035,9.840704149834545,16.438028697047745,1.1467166107396325,3.5478759250046688,2.2316759823373675,22.778552739422803,6.688197960058933,3.288637160037171,7.853853916887973,11.023000699470483,7.602908565760425,11.023000699470483,10.42468209951186,38.573916583174295,1.1467166107396325,0.1242764833034432,6.9495744109363695,6.900116715555383,0.1242764833034432,2.0831111908236517,2.7690511392495987,23.949486337063835,1.1516553681389952,18.597547020061786,8.411167580747023,8.261559867555144,3.5478759250046688,8.240136692451618,4.194439402947289,7.987422377440227,11.866740168775731]"
230,"[8.433586200740963,8.592199161344901,2.0882265469610566,9.40027801585726,8.77073509289356,8.710357123053518,9.386004142916569,8.433586200740963,10.607715542790142,2.0950472731426135,8.77073509289356,8.406890328866092,2.5504536665205912,0.4062164301462362,1.3721805425251006,4.496236106472885,2.0882265469610566,1.063548714154935,8.406890328866092,9.90639628418068,16.187997138503516,1.0389090003220294,4.3076565981804205,1.9526889011937618,21.826061927923366,4.496236106472885,3.2565782521508893,4.444203007039945,10.900678660647996,7.653279852431937,10.900678660647996,10.134882329235243,34.9192678545083,1.0389090003220294,0.16202586625163792,6.44689478644609,4.528663138636988,0.16202586625163792,0.4062164301462362,2.5504536665205912,23.88631301257007,1.3721805425251006,18.18386335409308,5.7138122638276085,8.072389304514319,4.3076565981804205,7.787547071521771,1.063548714154935,6.474714937248528,9.199402461909417]"
240,"[7.071675622791567,8.077210630077019,1.5562361675481415,8.077210630077019,8.268001982622943,9.132344420302264,9.101931529380614,9.101931529380614,9.262047792996247,2.0489593608678787,9.11030525342191,8.677568780260817,2.8801985781965818,0.40249543354822265,0.7741466136724089,1.0362526346450456,1.5562361675481415,1.0951691910455132,8.677568780260817,9.575210877284599,15.957028620067158,1.3646801195753593,1.0878581238269358,1.6829347975916928,19.80021566163113,1.0362526346450456,2.253031537979109,5.205561150595083,10.922907233095094,7.896075935102195,10.922907233095094,8.992668798666244,32.79629374573917,1.3646801195753593,0.3276320427412307,2.8128787496787013,5.205561150595083,0.3276320427412307,0.40249543354822265,2.8801985781965818,23.830032491178162,0.7741466136724089,17.682183363375064,5.941749148157975,9.909015977666778,1.0878581238269358,5.520016521591852,1.0951691910455132,5.471925822790933,8.736405828079718]"
250,"[4.751993434152852,8.799292814238074,2.701287687323604,8.799292814238074,7.385761761181285,9.204932319632526,9.491486378201682,7.764022476078613,9.548330379618578,0.7297447602353024,8.857490518214645,8.832906931942606,3.7124411806551274,0.4097890580238014,0.5337740432247818,1.7373996785558827,2.701287687323604,1.272267423887559,8.832906931942606,8.924091754841285,14.07002888155052,0.9220536543624092,0.7967995544448933,1.6370978426435172,20.064255312447436,1.7373996785558827,1.8634725072541212,2.903365664470037,10.984028003142623,8.202346022438674,10.984028003142623,4.876821156179952,32.73194416072287,0.9220536543624092,0.651960004182922,2.7896355779096833,2.903365664470037,0.651960004182922,0.4097890580238014,3.7124411806551274,23.690523978478137,0.5337740432247818,16.81000516115758,6.975524687341207,7.764022476078613,0.7967995544448933,4.876821156179952,0.7297447602353024,5.527497229097317,7.385761761181285]"
260,"[4.200882494104884,8.958624802692826,4.200882494104884,8.958624802692826,3.3860130391694834,9.237018116106208,9.369529638973829,7.233483863696015,9.792110301210192,0.725989915969757,8.651264758088953,9.797163710743702,6.6742614884105205,0.33204509706867336,0.5954939217324609,1.87790652953912,3.417524245006291,1.0584164537024738,7.588013317388683,9.797163710743702,11.214007903773489,0.9840924343101224,0.9665618249273202,1.0584164537024738,20.44392858648537,1.87790652953912,1.719167138751727,1.8031407684919716,10.93068908832519,3.068918375132736,10.93068908832519,1.938265497228575,31.137307344381693,0.9840924343101224,1.719167138751727,2.9263160199896987,1.8031407684919716,2.4602880265086555,0.33204509706867336,0.725989915969757,23.403363109045824,0.5954939217324609,16.132977034442273,7.107173977915545,7.233483863696015,0.9665618249273202,1.938265497228575,1.0034295941007534,3.068918375132736,3.3860130391694834]"
270,"[4.8788559214701985,8.338201498130184,2.7697174035680345,9.228686844933677,0.7434888094307535,7.3550197799042385,9.08483094479438,9.293979550819639,10.039640807508416,0.1562258838055171,9.536561620348458,9.832712048367716,4.077664851232744,0.7951692265297696,0.9107630592179357,2.0957416080647464,2.7697174035680345,1.72214905188283,4.077664851232744,9.832712048367716,10.738445137255571,1.0009040474577076,0.5132674113988132,1.72214905188283,19.9122045458571,2.0957416080647464,2.1537670150453136,1.2590996430247006,7.792786803394161,0.22162129087830423,8.997654930906098,1.2970870625089037,29.611692241303405,1.0009040474577076,2.7869280734663935,2.3016157935556576,1.2590996430247006,2.1537670150453136,0.7951692265297696,0.1562258838055171,23.016710072023393,0.9107630592179357,10.540668315390977,5.111466747281429,6.534298606823855,0.5132674113988132,1.2970870625089037,1.080632764392899,0.22162129087830423,0.7434888094307535]"
280,"[7.426367956693279,5.192522496717047,0.4990072647766666,9.76185680989264,0.9586993559321397,6.502858562403437,8.160223817806422,9.843901162373845,8.939870111002723,0.16894414329439889,6.168809376244085,9.952367709620836,3.855286109697481,1.0883477477604695,1.0585599218256556,2.1913965157882163,0.4990072647766666,0.603790742892745,3.855286109697481,9.442875431845193,10.080570892455425,1.3388290375269116,3.694846570682118,0.603790742892745,18.62381527593875,2.1913965157882163,1.6174445951197407,1.545443071247233,7.848527429658826,0.9503764979543551,7.58298404315526,1.5727347379778873,28.73070241263815,1.3388290375269116,4.257449027208939,2.37702824236125,1.545443071247233,1.6174445951197407,1.4606777554976729,0.16894414329439889,21.940100861361568,1.0585599218256556,10.064870183236593,2.602561530835889,5.192522496717047,3.1658658673402247,1.5727347379778873,1.1540446417843595,0.9503764979543551,0.9586993559321397]"
290,"[7.088981150875806,3.583542883235017,0.571698051946164,9.812777085885953,1.01963369025386,6.84221808855631,8.368951225596874,8.760713416364124,10.086245113400075,0.29229110863420243,1.0418631754878243,8.664912235064124,4.104443470921779,0.8624428433015273,0.8322385611111981,2.3972171697291365,0.571698051946164,0.3766435068013104,4.104443470921779,8.55978623973275,9.759837393895058,1.4618738654126255,1.0418631754878243,0.3766435068013104,17.647699891700935,2.3972171697291365,1.5875083136398347,1.1480515177012192,7.857029616656665,1.4770493834586973,7.499621551940125,0.7108147069136708,27.51474173502074,1.4618738654126255,2.2130682178748367,2.2577701053851666,1.667932227919629,1.5875083136398347,1.6498504732935333,0.29229110863420243,19.952939654412344,0.8322385611111981,9.400523758639958,1.1480515177012192,3.583542883235017,4.568475331816446,0.7108147069136708,1.4707664509384066,1.4770493834586973,1.01963369025386]"
